ts,x,y,z
2025-09-28T04:53:11.734000Z,0.0,0.671,-0.366
2025-09-28T04:53:12.132000Z,1.16,1.648,0.061
2025-09-28T04:53:12.564000Z,-0.732,0.732,-0.427
2025-09-28T04:53:13.578000Z,0.916,1.953,-0.366
2025-09-28T04:53:13.944000Z,-0.488,1.16,-0.427
2025-09-28T04:53:14.663000Z,-0.854,0.854,0.183
2025-09-28T04:53:14.983000Z,-0.854,0.61,-0.427
2025-09-28T04:53:15.307000Z,0.183,0.916,-0.366
2025-09-28T04:53:15.827000Z,0.427,1.099,-0.305
2025-09-28T04:53:16.238000Z,0.122,0.916,-0.366
2025-09-28T04:53:16.660000Z,-0.61,0.854,-0.427
2025-09-28T04:53:17.668000Z,-0.061,0.854,-0.427
2025-09-28T04:53:18.030000Z,0.061,1.099,-0.366
2025-09-28T04:53:18.495000Z,-0.122,0.916,-0.366
2025-09-28T04:53:18.907000Z,-0.549,0.793,-0.549
2025-09-28T04:53:19.324000Z,-0.183,1.16,-0.183
2025-09-28T04:53:19.714000Z,1.77,1.099,0.366
2025-09-28T04:53:20.535000Z,5.249,1.221,-0.61
2025-09-28T04:53:20.947000Z,-0.916,1.282,-0.427
2025-09-28T04:53:21.357000Z,-7.568,5.066,4.822
2025-09-28T04:53:21.775000Z,1.343,-7.812,-2.014
2025-09-28T04:53:22.178000Z,3.54,0.671,0.488
2025-09-28T04:53:23.221000Z,-7.69,0.61,-0.061
2025-09-28T04:53:23.533000Z,7.202,1.648,-0.244
2025-09-28T04:53:24.227000Z,-0.183,0.854,-0.549
2025-09-28T04:53:24.552000Z,-0.366,0.61,-0.488
2025-09-28T04:53:25.058000Z,-0.244,1.221,-0.305
2025-09-28T04:53:25.450000Z,-0.488,0.61,-0.366
2025-09-28T04:53:25.884000Z,-0.488,0.977,-0.366
2025-09-28T04:53:26.264000Z,-0.427,0.549,-0.366
2025-09-28T04:53:27.086000Z,-0.061,1.221,-0.305
2025-09-28T04:53:27.514000Z,-0.061,0.793,-0.305
2025-09-28T04:53:27.926000Z,-0.183,1.16,-0.427
2025-09-28T04:53:28.338000Z,0.061,1.526,-0.305
2025-09-28T04:53:28.733000Z,-0.244,0.793,-0.427
2025-09-28T04:53:29.860000Z,-0.549,0.61,-0.427
2025-09-28T04:53:30.193000Z,0.854,2.075,-0.244
2025-09-28T04:53:30.520000Z,-0.916,0.916,-0.366
2025-09-28T04:53:30.829000Z,-0.122,0.61,-0.61
2025-09-28T04:53:31.454000Z,-0.122,2.258,-0.244
2025-09-28T04:53:32.007000Z,-0.854,0.793,-0.366
2025-09-28T04:53:32.414000Z,-0.488,0.183,-0.549
2025-09-28T04:53:32.826000Z,-0.244,0.977,-0.427
2025-09-28T04:53:33.858000Z,0.61,0.61,-0.61
2025-09-28T04:53:34.180000Z,-0.854,0.244,-0.427
2025-09-28T04:53:34.680000Z,0.061,1.465,-0.366
2025-09-28T04:53:35.092000Z,0.061,1.282,-0.305
2025-09-28T04:53:35.489000Z,-0.366,0.916,-0.488
2025-09-28T04:53:35.953000Z,-0.061,1.099,-0.427
2025-09-28T04:53:36.578000Z,-0.488,0.854,-0.366
2025-09-28T04:53:37.230000Z,-1.343,0.549,-0.366
2025-09-28T04:53:37.738000Z,-0.488,0.61,-0.427
2025-09-28T04:53:38.155000Z,0.0,0.916,-0.366
2025-09-28T04:53:38.578000Z,0.488,1.587,-0.183
2025-09-28T04:53:39.001000Z,-0.305,1.099,-0.427
2025-09-28T04:53:39.378000Z,-0.488,0.732,-0.488
2025-09-28T04:53:40.404000Z,-0.427,-0.122,-0.427
2025-09-28T04:53:40.735000Z,0.488,0.854,-0.427
2025-09-28T04:53:41.237000Z,-0.366,1.099,-0.244
2025-09-28T04:53:41.633000Z,-0.671,0.732,-0.427
2025-09-28T04:53:42.035000Z,-0.122,1.465,-0.305
2025-09-28T04:53:42.454000Z,-1.099,0.977,-0.366
