ts_iso,x,y,z
2025-09-26T09:33:35.892593,-0.122,0.122,0.0
2025-09-26T09:33:35.940383,-0.122,-0.122,0.244
2025-09-26T09:33:36.064350,0.122,-1.465,-0.366
2025-09-26T09:33:36.164797,-0.061,-3.784,0.061
2025-09-26T09:33:36.269495,-0.061,0.122,-0.122
2025-09-26T09:33:36.335385,-0.061,0.0,-0.122
2025-09-26T09:33:36.377913,-0.244,-0.549,0.488
2025-09-26T09:33:36.425424,0.061,-3.418,-0.183
2025-09-26T09:33:36.484862,-0.122,-1.648,-0.061
2025-09-26T09:33:36.549036,0.061,0.183,-0.61
2025-09-26T09:33:36.706666,-0.183,-1.404,0.183
2025-09-26T09:33:36.754534,0.061,-2.625,-0.244
2025-09-26T09:33:36.833989,-0.122,-1.282,0.061
2025-09-26T09:33:36.896433,-0.061,-0.427,-0.244
2025-09-26T09:33:36.945936,0.0,0.061,-0.061
2025-09-26T09:33:37.000164,-0.061,0.061,-0.122
2025-09-26T09:33:37.035555,-0.061,-0.061,-0.061
2025-09-26T09:33:37.103339,-0.061,0.488,-0.183
2025-09-26T09:33:37.159807,-0.061,-0.671,-0.061
2025-09-26T09:33:37.360588,0.0,-0.488,-0.122
2025-09-26T09:33:37.426844,0.0,-0.305,-0.305
2025-09-26T09:33:37.486612,0.0,0.244,-0.366
2025-09-26T09:33:37.588408,-0.061,-0.916,-0.122
2025-09-26T09:33:37.644099,-0.061,-0.916,0.0
2025-09-26T09:33:37.696086,0.0,0.732,-0.183
2025-09-26T09:33:37.957283,-0.061,-0.061,-0.061
2025-09-26T09:33:41.058276,-0.061,-0.671,0.0
2025-09-26T09:33:41.097580,0.0,-0.122,-0.122
2025-09-26T09:33:41.169146,-0.061,-0.854,-0.122
2025-09-26T09:33:41.238885,-0.061,-0.305,-0.061
2025-09-26T09:33:41.293204,0.0,-0.488,-0.183
2025-09-26T09:33:41.365159,-0.061,-0.671,0.061
2025-09-26T09:33:41.409028,-0.061,-0.061,-0.183
2025-09-26T09:33:41.472894,-0.061,-0.488,0.061
2025-09-26T09:33:41.534613,-0.061,-0.488,-0.183
2025-09-26T09:33:41.583314,-0.061,0.0,-0.061
2025-09-26T09:33:41.635628,-0.061,-0.732,-0.122
2025-09-26T09:33:41.703996,0.0,0.305,-0.122
2025-09-26T09:33:41.782672,-0.061,-0.366,-0.183
2025-09-26T09:33:41.862877,-0.061,-0.488,-0.061
2025-09-26T09:33:41.950404,0.0,0.061,-0.244
2025-09-26T09:33:42.021951,-0.061,-0.488,-0.061
2025-09-26T09:33:42.318532,0.0,-0.244,-0.183
2025-09-26T09:33:42.390149,-0.061,-0.549,0.0
2025-09-26T09:33:42.441804,-0.061,-0.427,-0.061
2025-09-26T09:33:42.519024,-0.061,0.061,-0.122
2025-09-26T09:33:42.576610,-0.061,-0.732,0.0
2025-09-26T09:33:42.628225,-0.061,-0.366,-0.122
2025-09-26T09:33:42.755032,-0.061,-0.122,0.0
2025-09-26T09:33:42.831624,-0.061,-0.488,-0.122
2025-09-26T09:33:42.902051,-0.061,-0.671,-0.061
2025-09-26T09:33:42.989633,-0.061,-0.122,-0.183
2025-09-26T09:33:43.039919,-0.122,-0.122,-0.061
2025-09-26T09:33:43.082854,-0.061,-0.427,-0.122
2025-09-26T09:33:43.142787,-0.061,-0.183,-0.061
2025-09-26T09:33:43.195836,0.0,-0.183,-0.122
2025-09-26T09:33:43.453605,-0.061,-0.61,0.0
2025-09-26T09:33:46.473708,-0.061,-0.366,-0.122
2025-09-26T09:33:46.566263,-0.061,-0.244,-0.122
2025-09-26T09:33:46.644011,-0.061,-0.427,-0.122
2025-09-26T09:33:46.727374,-0.061,-0.305,-0.061
2025-09-26T09:33:46.972447,-0.061,-0.488,-0.061
2025-09-26T09:33:47.057133,-0.061,-0.488,0.0
